Name,Year,Group,Status,Birth Date,Birth Place,Birth Place Copy,latitue,logtitude,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
John-David F. Bartoe,,,Retired,11/17/1944,"Abington, PA",Abington,40.1,-75.0997,Male,Lehigh University; Georgetown University,Physics,Physics,,,1,190,0,0,STS 51-F (Challenger),,
Andrew S. W. Thomas,1992,14,Management,12/18/1951,"Adelaide, Australia",Adelaide,-34.9273,138.5995,Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,,,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Judith A. Resnik,1978,8,Deceased,4/5/1949,"Akron, OH",Akron,41.0731,-81.5178,Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,,,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Thomas J. Hennen,,,Retired,8/17/1952,"Albany, GA",Albany,31.5785,-84.1559,Male,,,,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
Nicole P. Stott,2000,18,Active,11/19/1962,"Albany, NY",Albany,42.6525,-73.7572,Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,,,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Sidney M. Gutierrez,1984,10,Retired,6/27/1951,"Albuquerque, NM",Albuquerque,35.1107,-106.61,Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
Guy S. Gardner,1980,9,Retired,1/6/1948,"Alta Vista, VA",Altavista,37.1175,-79.2897,Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Rick D. Husband,1995,15,Deceased,7/12/1957,"Amarillo, TX",Amarillo,35.1992,-101.8453,Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Paul S. Lockhart,1996,16,Retired,4/28/1956,"Amarillo, TX",Amarillo,35.1992,-101.8453,Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
Laurel B. Clark,1996,16,Deceased,3/10/1961,"Ames, IA",Ames,42.0268,-93.6202,Female,University of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Fred W. Leslie,,,Retired,12/19/1951,"Ancon, Panama",Anc�n,8.97,-79.55,Male,University of Texas; University of Oklahoma,Engineering Science,Meteorology,,,1,381,0,0,STS-73 (Columbia),,
Tracy E. Caldwell (Dyson),1998,17,Active,8/14/1969,"Arcadia, CA",Arcadia,34.1328,-118.0364,Female,California State University-Fullerton; University of California-Davis,Chemistry,Physical Chemistry,,,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
Steven W. Lindsey,1995,15,Retired,8/24/1960,"Arcadia, CA",Arcadia,34.1328,-118.0364,Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
David M. Brown,1996,16,Deceased,4/16/1956,"Arlington, VA",Arlington,38.8799697,-77.1067698,Male,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Roy D. Bridges Jr. ,1980,9,Retired,7/19/1943,"Atlanta, GA",Atlanta,33.7485,-84.3915,Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Major General,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),,
Scott D. Tingle,2009,20,Active,7/19/1965,"Attleboro, MA",Attleboro,41.9333,-71.3,Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0,,,
Susan L. Kilrain (Still),1995,15,Retired,10/24/1961,"Augusta, GA",Augusta,33.4667,-81.9667,Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Kenneth D. Cockrell,1990,13,Management,4/9/1950,"Austin, TX",Austin,30.265,-97.7466,Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Timothy L. Kopra,2000,18,Active,4/9/1963,"Austin, TX",Austin,30.265,-97.7466,Male,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
Robert L. Curbeam Jr. ,1995,15,Retired,3/5/1962,"Baltimore, MD",Baltimore,39.2833,-76.6167,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Marsha S. Ivins,1984,10,Retired,4/15/1951,"Baltimore, MD",Baltimore,39.2833,-76.6167,Female,University of Colorado,Aerospace Engineering,,,,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Thomas D. Jones,1990,13,Retired,1/22/1955,"Baltimore, MD",Baltimore,39.2833,-76.6167,Male,US Air Force Academy; University of Arizona,,Planetary Science,,,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
Terry W. Virts Jr. ,2000,18,Active,12/1/1967,"Baltimore, MD",Baltimore,39.2833,-76.6167,Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
G. Reid Wiseman,2009,20,Active,11/11/1975,"Baltimore, MD",Baltimore,39.2833,-76.6167,Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
Charles O. Hobaugh,1996,16,Retired,11/5/1961,"Bar Harbor, ME",Bar Harbor,44.3858,-68.2094,Male,US Naval Academy,Aerospace Engineering,,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Michael J. Smith,1980,9,Deceased,4/30/1945,"Beaufort, NC",Beaufort,34.7167,-76.65,Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Robert L. Crippen,1969,7,Retired,9/11/1937,"Beaumont, TX",Beaumont,30.08,-94.1267,Male,University of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Charles D. Walker,,,Retired,8/29/1948,"Bedford, IN",Bedford,38.8628,-86.4922,Male,Purdue University,Aeronautical & Astronautical Engineering,,,,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
Sandra H. Magnus,1996,16,Retired,10/30/1964,"Belleville, IL",Belleville,38.5126,-89.9842,Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,,,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Christopher J. Loria,1996,16,Retired,7/9/1960,"Belmont, MA",Belmont,42.3958,-71.1792,Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0,,,
Fred W. Haise Jr. ,1966,5,Retired,11/14/1933,"Biloxi, MS",Biloxi,30.4119,-88.9278,Male,University of Oklahoma,Aeronautical Engineering,,,,1,142,0,0,Apollo 13 ,,
Douglas H. Wheelock,1998,17,Active,5/5/1960,"Binghamton, NY",Binghamton,42.1022,-75.9117,Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
